time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0
13.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-0.8749999999999979
14.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0
15.0,0.0,-0.3749999999999958,0.0,0.0,0.0,0.6250000000000042,1.0,0.0,-1.0,0.0,0.0,-1.0
16.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-2.0
17.0,-3.0,-1.0,0.0,1.0,-1.0,1.0,3.0,1.0,3.687499999999998,0.0,-1.0,-4.0
18.0,-5.0,-2.0,1.0,2.0,-2.0,1.0,5.749999999999992,2.0,6.0,0.0,-3.0,-6.874999999999996
19.0,-8.124999999999988,-2.1249999999999876,3.0,3.062499999999994,-4.0,1.0,7.124999999999988,2.0,7.0,0.0,-5.062499999999994,-10.124999999999988
20.0,-11.5,-4.25,5.0,5.25,-6.0,1.75,9.5,2.0,7.0,-0.75,-8.5,-14.25
21.0,-14.0,-10.375000000000012,4.124999999999988,8.0,-7.0,1.0,13.0,4.0,6.062499999999994,-3.8750000000000124,-13.375000000000012,-18.937500000000007
