time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,1.0,0.0,0.0,-0.5,0.5,0.0,-2.0,-8.0,-3.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
17.0,0.20999999999999902,0.0,0.0,0.0,0.0,0.0,-2.0,-8.0,-4.5,0.0,1.0,1.0
18.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.3399999999999976,-8.0,-4.5,0.0,1.0,1.0
