time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
41.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
42.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-2.4599999999999946,1.0,0.0,-3.0,-4.0,-2.0,0.0
43.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
44.0,-3.6666666666666714,-2.6400000000000032,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
45.0,-2.8166666666666744,-2.0750000000000015,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
46.0,-2.6666666666666714,-2.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
47.0,-2.6666666666666714,-2.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
48.0,-2.6666666666666714,-2.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
49.0,-2.6666666666666714,-2.0,0.0,2.0,-2.8150000000000026,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
50.0,-2.6666666666666714,-2.0,0.0,2.0,-2.250000000000004,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
51.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.685000000000003,-4.0,-2.0,0.0
52.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.1200000000000028,-4.0,-2.0,0.0
53.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
54.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
55.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
56.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
57.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,0.0,-2.204999999999998,-4.0,-2.0,0.0
58.0,-2.6666666666666714,-2.0,-0.5399999999999929,2.0,-2.0,-3.0,1.0,0.0,-2.7699999999999965,-4.0,-2.0,0.0
59.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
60.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
61.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
62.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
63.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
64.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
65.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.5500000000000114,-4.0,-2.0,0.0
66.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
67.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
68.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
69.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
70.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
71.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
72.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
73.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
74.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
75.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
76.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,0.0,-2.0,-4.0,-2.0,0.0
77.0,-2.6666666666666714,-2.0,-0.9900000000000136,2.0,-2.0,-3.0,1.0,1.0,-2.0,-4.0,-2.0,0.0
78.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-4.0,-2.0,0.0
79.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.7300000000000035,-2.0,0.0
80.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-2.0,0.0
81.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-2.0,0.0
